DATE,TICKER,RET,EuropePresence,PostGDPR,Interaction
02/05/2016,PRGS,0.004702,1,1,1
03/05/2016,PRGS,-0.025351,1,1,1
04/05/2016,PRGS,-0.004402,1,1,1
05/05/2016,PRGS,-0.017283,1,1,1
06/05/2016,PRGS,0.009407,1,1,1
09/05/2016,PRGS,0.006078,1,1,1
10/05/2016,PRGS,0.021345,1,1,1
11/05/2016,PRGS,-0.016364,1,1,1
12/05/2016,PRGS,0.003408,1,1,1
13/05/2016,PRGS,0.003196,1,1,1
16/05/2016,PRGS,0.005177,1,1,1
17/05/2016,PRGS,-0.018225,1,1,1
18/05/2016,PRGS,0.01816,1,1,1
19/05/2016,PRGS,-0.001982,1,1,1
20/05/2016,PRGS,0.020254,1,1,1
23/05/2016,PRGS,-0.013624,1,1,1
24/05/2016,PRGS,0.03749,1,1,1
25/05/2016,PRGS,-0.008368,1,1,1
26/05/2016,PRGS,0.001534,1,1,1
27/05/2016,PRGS,0.011107,1,1,1
31/05/2016,PRGS,-0.002652,1,1,1
01/06/2016,PRGS,0.011394,1,1,1
02/06/2016,PRGS,0.000376,1,1,1
03/06/2016,PRGS,0.003378,1,1,1
06/06/2016,PRGS,0.013094,1,1,1
07/06/2016,PRGS,-0.008124,1,1,1
08/06/2016,PRGS,0.002978,1,1,1
09/06/2016,PRGS,-0.010765,1,1,1
10/06/2016,PRGS,-0.020638,1,1,1
13/06/2016,PRGS,-0.004598,1,1,1
14/06/2016,PRGS,-0.003464,1,1,1
15/06/2016,PRGS,-0.008111,1,1,1
16/06/2016,PRGS,0.011682,1,1,1
17/06/2016,PRGS,-0.007313,1,1,1
20/06/2016,PRGS,0.015898,1,1,1
21/06/2016,PRGS,0.009924,1,1,1
22/06/2016,PRGS,-0.008692,1,1,1
23/06/2016,PRGS,0.020206,1,1,1
24/06/2016,PRGS,-0.053064,1,1,1
27/06/2016,PRGS,-0.04341,1,1,1
28/06/2016,PRGS,0.021452,1,1,1
29/06/2016,PRGS,0.017367,1,1,1
30/06/2016,PRGS,0.090115,1,1,1
01/07/2016,PRGS,0.011289,1,1,1
05/07/2016,PRGS,-0.003601,1,1,1
06/07/2016,PRGS,0.007589,1,1,1
07/07/2016,PRGS,-0.003945,1,1,1
08/07/2016,PRGS,0.031329,1,1,1
11/07/2016,PRGS,0.013617,1,1,1
12/07/2016,PRGS,0.022046,1,1,1
13/07/2016,PRGS,-0.016515,1,1,1
14/07/2016,PRGS,-0.009596,1,1,1
15/07/2016,PRGS,0.002422,1,1,1
18/07/2016,PRGS,-0.005868,1,1,1
19/07/2016,PRGS,0.001389,1,1,1
20/07/2016,PRGS,0.005895,1,1,1
21/07/2016,PRGS,-0.001034,1,1,1
22/07/2016,PRGS,0.004486,1,1,1
25/07/2016,PRGS,-0.003435,1,1,1
26/07/2016,PRGS,0.004826,1,1,1
27/07/2016,PRGS,0.001372,1,1,1
28/07/2016,PRGS,-0.003083,1,1,1
29/07/2016,PRGS,-0.001375,1,1,1
01/08/2016,PRGS,-0.006538,1,1,1
02/08/2016,PRGS,-0.006928,1,1,1
03/08/2016,PRGS,0.002442,1,1,1
04/08/2016,PRGS,-0.003132,1,1,1
